text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
"Across the board public services are on their knees, yet the government’s approach to growth is blind to the crisis engulfing local government, writes @JackTShaw. https--//t.co/P9J3zTJR8k",No,Yes,No,52,51,No,,,,51,52,40,Man,37,Yes,341
"Officials reveal death toll from apartment building fire following plane crash in Russia  At least three people died and 19 more were injured in a fire that was caused by a fighter jet crash in the town of Yeysk, emergency services have confirmed  https--//t.co/BsvRkSP82A https--//t.co/0uqog1aCJN",No,Yes,No,51,51,No,,,,45,50,40,Man,37,Yes,341
Alone. If impossible. Creativity is a sacred metaphor clashes horns and halos An empire there isn't ے⁦نون⁩. The only loss    ك̷و̷د̶⁩ ⁦̸خ̷ص̸م̴⁩  .   is the best part https--//t.co/oVnFcyPWcT,Yes,No,,,,No,,,,,,50,Woman,35,Yes,342
Election Administrators Are Under Attack. Here’s What That Means for the Upcoming Midterms. https--//t.co/kUBwEN5Z7l,No,Yes,No,81,0,No,,,,50,51,50,Woman,35,Yes,342
"@GlobalCrypto12 @battle_stakes For a start-up project, developers play a very important role. To become the next-generation cross-chain oracle solutions – it needs better, faster, accurate, and more secure. Can you brief us how Battle Stakes overcomes challenges to achieves all of these functions?",No,No,,,,No,,,,,,50,Woman,35,Yes,342
@rosy_bindi  @LeolucaOrlando1 'Global hunger Index' by a private company Welthungerhilfe has dropped India's rank to 107 out of 122. Worse than Pakistan & even Sri Lanka which are facing food & economic crisis. How ridiculous is the report of #GlobalHungerIndex2022? https--//t.co/TqRq4kImaz,No,Yes,No,92,0,No,,,,50,60,50,Woman,35,Yes,342
$ant Top analyst price target for next week  🚀🚀🚀   https--//t.co/p19ZDX1VI0,No,No,,,,Yes,No,40,19,28,91,50,Woman,35,Yes,342
@Zoe91472174 @ninaturner But what is this woman bringing this crap up again? That piece of s*** has been dead for 2 years. What is the point of bringing that up again? We should be talking about the black dude assaulting people with an ax in McDonald's being let out on bail to attack more people.,No,Yes,No,100,0,No,,,,100,51,50,Woman,35,Yes,342
@CamJBradbury You’ve not got rid of your last disaster yet.,No,Yes,No,100,52,No,,,,100,0,50,Woman,35,Yes,342
@gate_io ApeSport-- 2022's Hottest Presale | Our Last Token >$1B MC | Monster Partners | Presale-- Coming soon | Join us-- https--//t.co/h1WeDW9H33 | #ERC20 #Ethereum #Uniswap #Binance #nft #NFTdrop #Crypto #nfts #APE #APESPORT 8,Yes,No,,,,Yes,Yes,82,100,0,100,50,Woman,35,Yes,342
"@TawkVent @TheDemocrats @BillPascrell @MikieSherrill @Malinowski @GOP @BillyPrempeh @DeGrootCongress @KeanForCongress @njdotcom @starledger @nj1015 @BillSpadea @NJGOP Did some follow up apparently the cop died of a stroke in hospital while being treated after being assaulted by the crowd. I guess we would need a panel of experts to decide if any of the abuse could lead to a stroke , but I’ll concede my wording could be a bit off.",No,No,,,,No,,,,,,50,Woman,35,Yes,342
"#Health Ministry-- 46 new #Cholera cases, 1 new death | https--//t.co/2vJaaBuGAe | #Lebanon",No,Yes,No,100,0,No,,,,0,100,50,Woman,35,Yes,342
@BernieSpofforth They are trying a take over using a crisis as a pretext.,No,No,,,,No,,,,,,93,Woman,35,No,343
@shusaints Drive Pink suckers and see the sniper video on Black people bill gates investment ties to Epstein sexual assaults on women trucks sales to ISIS,No,Yes,No,95,50,No,,,,42,67,93,Woman,35,No,343
@sjk617 Like all this anger will be justified if suho did something for the industry but like where are his contributions ? https--//t.co/LmShL4XE9e,No,No,,,,No,,,,,,93,Woman,35,No,343
#Kyiv is shelled by drones again. #Russia understood #UkrainianArmy destroyed almost all drones during the day so they decided to attack at night.  #UkraineWar #UkraineRussianWar #UkraineCrisis #Russie #RussianArmy #Trending,No,Yes,No,100,6,No,,,,11,100,93,Woman,35,No,343
@mauscuba7500 @Tribune_ofPlebs @KatelynTweeter I can do plenty.  The first step was supporting the overturning of Roe v. Wade.  Planned Parenthood is responsible for more baby deaths than ANY other terroristic organization.  Congrats.,No,Yes,No,100,42,No,,,,11,21,93,Woman,35,No,343
$QCOM Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,No,No,,,,No,,,,,,93,Woman,35,No,343
post panic attack lunch 🥰🥰 https--//t.co/21GBgEHG4E,No,No,,,,No,,,,,,93,Woman,35,No,343
@UnderwayBeats @davidabernier5 @happycrazytown @JennaEllisEsq Why would speak of a hand recount when I posted up the results to the full forensic audit?  Is this a sign of how defeated the enemy Chinese Communist Party wumao bot is in its lost cause of trying to lie about the stolen elections?  🤔,No,Yes,No,100,70,No,,,,2,45,93,Woman,35,No,343
"I had a dream last night some guy was explaining to me that ""i'm just a woman"" and I woke up before my alarm today in a sweat afraid I had just murdered someone. https--//t.co/fQAKAlj6S7",No,No,,,,No,,,,,,93,Woman,35,No,343
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion  Salmi  WE APPRECIATE MC STAN,No,No,,,,No,,,,,,93,Woman,35,No,343
Pilot ejects seconds before military jet crashes into block of flats in Russia #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 https--//t.co/CeILrZqLsp,No,No,,,,No,,,,,,15,Woman,28,No,344
@cutepriscilla_ @pikawaii02 @Dorlaa_ @springer_tasha @thiskiwila @tron5stx @CryptoBlckParty @muziktagger @MrsPinkSol @MrPinkSol @Lizabethh_baby Please join our discord and announce you’re a TW WL winner and our team will assign HERList 🥰 Welcome to the HER family! 🔮,Yes,No,,,,No,,,,,,15,Woman,28,No,344
"@DorasIRL If the housing crisis persists and the increased inflows continue, direct provision  will continue  for the foreseeable future. There will be nowhere else for people to move on to. We have to be realistic. The housing crisis is not going to be solved for years.",No,Yes,No,100,3,No,,,,18,90,15,Woman,28,No,344
@olya_rudenko The world should destroy Putin and his terror state Russia! Stay strong!!! #FckPutin  #RussiaisATerroistState #PutinWarCriminal,No,Yes,No,98,50,No,,,,100,10,15,Woman,28,No,344
"I love how I’m not afraid to be late to eng, fuck a lecture class",No,No,,,,No,,,,,,15,Woman,28,No,344
"I was thumbing through Ludwig Ott and ran across this-- ""Since the middle of the 4th century, some Fathers, like St. Basil the Great, St. Gregory of Nyssa, St. John Chrysostom, appear to dispute the possibility of an immediate vision of God.""",No,No,,,,No,,,,,,15,Woman,28,No,344
"@NicholasLightTV Waiting for Death Note, Bleach is cool though so still cool with it, just hope we get more Death Note soon!",No,No,,,,No,,,,,,15,Woman,28,No,344
"@HTT64415574 We understand your concern. We see that our team has addressed your concern via email and the information has been provided on the issue raised. If there's anything else that you'd like us to help with, please let us know. ^DW https--//t.co/5DoqNu396t",No,No,,,,Yes,Yes,89,85,3,92,15,Woman,28,No,344
"软件出售 Tue Oct 18 01--59--33 2022 Another step, harvest success. Efforts of today and tomorrow.  出口safety   葡萄酒culture Grasp every minute to study, himself to despair #上粉 #推特脚本 #推特软件 #推特协议 #ins脚本 #推特账号出售 https--//t.co/GfCiE4rTAP",No,No,,,,No,,,,,,15,Woman,28,No,344
"""Cappadocian Trinitarian theology depends first and last upon the mystery of divine love revealed in Christ’s incarnation, death and resurrection. But from a historical viewpoint, this theology is not possible without the complex intellectual climate that helps to frame it.",No,No,,,,No,,,,,,15,Woman,28,No,344
$slp  is set and ready for a run up..~ https--//t.co/awTrtCeCLM,Yes,No,,,,Yes,Yes,6,29,81,16,0,Woman,60,No,345
"🏆WhiteList Winners--  @MatalinoNFT,@_Salzo,@tbswlf,@NFToneworld,@Hjanjuha,@the23rdk1ng,@amia_monke,@vicalexa1,@jemiride  For MINT Join Discord https--//t.co/NSa17dlyF6",No,No,,,,Yes,Yes,80,79,12,89,0,Woman,60,No,345
@SenTedCruz What have you done in your whole grifting gooch-sniffing career?  You fled in a crisis.   You chose fealty to Donald Trump over your Wife.  You have voted NO to all bills that help average Americans.   You attended an NRA Event to get your paycheck days after the Uvalde shooting. https--//t.co/ZyTU4oy8bZ,No,No,,,,No,,,,,,0,Woman,60,No,345
@Natashaxkayy He will be made aware🤣🤣,No,No,,,,No,,,,,,0,Woman,60,No,345
@Ekitipikin I booked this game but I don't have money to paly it and the game is going well . Being broke is a disease I don't even have 100 naira to steak 😭 https--//t.co/eAdwxeF6Mn,No,No,,,,No,,,,,,0,Woman,60,No,345
welcome to death row 😉👩🏽‍❤️‍💋‍👨🏾.,No,No,,,,No,,,,,,0,Woman,60,No,345
Hard to articulate just how much of a disaster having Tim Michels as governor would be for our democracy here in Wisconsin. https--//t.co/F1C5Z6bxAw,No,No,,,,No,,,,,,0,Woman,60,No,345
"Hon. Duale, we must take social media seriously. Terrorism, Robbery, Attacks have been planned on social media like a playful banter... https--//t.co/7ecHatp5u7",No,Yes,Yes,100,35,No,,,,100,31,0,Woman,60,No,345
$ar Top analyst price target for next week..    https--//t.co/b3SoBoEQqv,No,Yes,Yes,100,50,No,,,,28,86,0,Woman,60,No,345
$BRK.B Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,No,No,,,,Yes,Yes,79,64,0,100,30,Man,43,No,346
"@IuliiaMendel Do the Azovs still want to lead the white race to destroy the Jews? (statement by Azov leader) But until then, you will take their weapons!!",No,Yes,No,58,22,No,,,,84,16,30,Man,43,No,346
"@BaddCompani  'President Trump left the federal budget outlook in poor shape. He departed the White House with the largest peacetime budget deficit in American history, and a national debt exceeding 100 percent of the economy for the first time since World War II'. https--//t.co/lyNTVyVFPb",No,Yes,No,82,22,No,,,,99,2,30,Man,43,No,346
@flipkartsupport 119 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,No,Yes,No,69,34,No,,,,9,27,30,Man,43,No,346
"Dear Dmitry @Dpol_un, Let us, you🇷🇺&I🇺🇸, work to bring this War to an immediate ceasefire, put an end to more death & destruction, and have all issues dealt with in a civilized way under Intl Law. This War is on a bad trajectory, that even “Hints” of dialogue are ignored.",No,No,,,,No,,,,,,30,Man,43,No,346
"If youre a wick capital discord member, youre safe and still have access. we simply just did a hard reset of the server, adding/upgrading security features since it was previously compromised, being able to be viewed from mirrors due to web hooks.   Things are better now.",No,Yes,Yes,83,71,Yes,Yes,75,74,83,69,30,Man,43,No,346
@JamesAWhitehead @treychef @mitchelmoles01 He tried to kill a fellow driver with a car nothing to do with black or white that u can be brought up on charges of attempted murder with a dangerous https--//t.co/Mw4G2RpwPb might have been in the heat of the moment but no excuse. Fight with him after the race but ur car,No,Yes,Yes,60,98,No,,,,1,99,30,Man,43,No,346
WATCHING MINECRAFT LIVE RN | GAMES LATER !discord !yt !twitter https--//t.co/RpSadXEj31,No,Yes,Yes,95,79,No,,,,97,6,30,Man,43,No,346
"@MrOnu_ hello, is there a discord channel where I can see your crypto analysis?",No,No,,,,Yes,Yes,55,78,89,17,30,Man,43,No,346
"[RIP] Oscar Ledezma Automotive Accident Bensenville, Oscar Ledezma Died In A Deadly Crash https--//t.co/gzqkEBzWMn",No,No,,,,No,,,,,,14,Woman,35,No,347
"@SoozleMcDoozle Thinking of all of you, wishing you comfort and support in this difficult moment.",No,No,,,,No,,,,,,14,Woman,35,No,347
TOP 10 NFT TOKENS BY PRICE PERFORMANCE 24H https--//t.co/a0PYshZqXH $FEAR  $VEE  $URQA  $XMON  $DOGE https--//t.co/KwUoGMwLrg,Yes,No,,,,Yes,No,62,77,41,19,14,Woman,35,No,347
The race is on to find what lies behind ancient yew trees’ mystery decline. Tree-ring research is underway to discover why some of the extraordinarily old and valuable yew trees growing within Newlands Corner on the North Downs have died. https--//t.co/hTdq0n7k8j https--//t.co/hndsVt07LE,No,No,,,,No,,,,,,14,Woman,35,No,347
@Iran_GOV Liars! Isn’t lying a deadly sin in the Koran?,No,No,,,,Yes,No,70,85,30,19,14,Woman,35,No,347
fortnite ! welcome to the splsauce show! https--//t.co/wQyKqYiFiq #fortnite #twitch #livestream #twitchaffiliate #420streamer  #Teamb42 #twitter #streamer #420twitch #fyp #anxiety #depression #ADHA #subathon #spirtitual #giveaway,No,Yes,No,57,6,No,,,,84,94,14,Woman,35,No,347
Welcome to my Twitter page!  Soundcloud-- https--//t.co/jFGzo10KGo Bandcamp-- https--//t.co/5EK7iaXdAn Discord-- https--//t.co/e93aVay9Ly Facebook-- https--//t.co/GVWcMmmZyh,Yes,No,,,,No,,,,,,14,Woman,35,No,347
Emergency Preparedness Session 3 is THIS Wednesday-- Disaster Mental Health Care Support for Health Center Personne https--//t.co/lKS1arpZgX https--//t.co/zRURQijnY9,No,No,,,,No,,,,,,14,Woman,35,No,347
"@RonJohnsonWI I don't know if you are aware because you are so out of touch with reality but you were supposed to be a ""Senator"" who represented ALL Wisconsinites, not just yourself & your donors.This comment by you is insulting and patronizing and proved that you only represented your voters.",No,No,,,,Yes,Yes,100,98,97,78,14,Woman,35,No,347
Jesus christ it’s worse than post Financial Crisis Bush. https--//t.co/6vyPySUAGf,No,No,,,,No,,,,,,10,Man,34,No,348
@Johnhop04896651 @officialEFCC did you see the word alleged?,No,No,,,,No,,,,,,10,Man,34,No,348
Best leaks teen/discord leaks/snapchat leaks/Cheese Pizza leaks/baby ashlee leaks/ best discord server with preview https--//t.co/xOUz4vrRZF,Yes,Yes,No,100,0,No,,,,100,100,10,Man,34,No,348
"LONDON BEER FLOOD 1814 OTD. A vat explodes at Horse Shoe Brewery. A 15 foot wave of fermenting porter roars down the street like well, greased lightning. Desolation. Houses flattened, 8 people died. Horse Shoe brewery is now site of Dominion Theatre where 'Grease' is playing. https--//t.co/xKBR39k6D4",No,No,,,,No,,,,,,10,Man,34,No,348
@Investingcom Europe has a major electricity crisis but people buy Tesla that runs more expensively than gas,No,No,,,,No,,,,,,10,Man,34,No,348
@tedcruz @GOP has failed to protect the US from the enemy within.  The courts have confirmed that Jan 6 terror was an attack on democracy.  All members have taken the oath to protect all of the US.  Their failure and support of the insurrectionist requires REMOVAL. https--//t.co/PXFFMdbRXU,No,No,,,,No,,,,,,10,Man,34,No,348
I’ve noticed a disturbing lack of Steve McNair highlights on #twitter lately.. let’s change that! RT or grab your own-let’s do our part to flood timelines with #SteveMcNair highlights! #AirMcNair #highlights #underrated #RIPSteveMcNair   https--//t.co/AwO3KsYDfz,No,No,,,,No,,,,,,10,Man,34,No,348
"@scoobyhistory ""a night of fright is no delight"" ""who's afraid of the big bad werewolf?"" and ""hassle in the castle""",No,No,,,,No,,,,,,10,Man,34,No,348
@DMinghella She has caused ordinary people to live in fear about keeping their house heating their house feeding their family keeping their job ..going through hell is the least she deserves 👍 and god knows how many more deaths the next study will show !! https--//t.co/CxWZIvkttg,No,No,,,,No,,,,,,10,Man,34,No,348
@techcentrik New trend-ApeSport-- Sport NFT x #Apechain|Super hype project World cup 2022|#NFT Collection from Top Artists Called by Hundreds of Influencers|Fl Tw and join DC to get a #Giveaway reward for free--https--//t.co/UUZR1Lf8pz #ETH #Binance #BAYC #ERC20 3,No,No,,,,No,,,,,,10,Man,34,No,348
@Dwabaman_ZA @Gorba_G8 @kabelomolekwa6 these 2 think  their  Xbox tactics are the same in real football that's why they ba nale anger so🤣😂🤣😂🤣 https--//t.co/D6ML6ImPWq,Yes,Yes,Yes,44,53,Yes,Yes,53,57,63,78,65,Man,27,No,349
"@IndiaAheadNews  ""They didn't want my presence here so that they can divert the attention from our people reach out programme"", #JSP president @PawanKalyan on amid power tussle in #Vishakhapatnam thank you madam @kitaab31 https--//t.co/TmwbXHA50v",Yes,Yes,Yes,36,70,Yes,Yes,47,63,28,32,65,Man,27,No,349
"I find it easier to confront the old way of discipline by asking...  ""Why do you think other kids deserve gentleness more than yours?"" https--//t.co/rRWBGdDh3c",Yes,Yes,Yes,37,65,Yes,Yes,41,47,32,53,65,Man,27,No,349
Republicans voted against! But now claiming the money they got! Prescriptions they want to repeal. Our Democratic candidates needs some balls to go confront the Republicans on ALL these issues. And force them to state how they will change things! They have no positions on issues!,No,No,,,,Yes,Yes,59,43,35,44,65,Man,27,No,349
"@Jennife94501468 I’m convinced there’s a big change afoot… tomorrow, Mordaunt crowned as new PM.1922-driven to bypass no confidence vote, leadership campaigns etc. Zero mandate but last throw of dice to avoid GE. They won’t let LT do PMQs Weds. markets more stable now so can launch plan",Yes,Yes,Yes,35,58,Yes,Yes,36,56,55,61,65,Man,27,No,349
Want to mint a #NFT but fees on $ETH are to high? https--//t.co/yqcRErreNF Check OUT CT where you can mint #NFT for few cents 🥷 Powered by.. $UBQ   #NFTCommunity #nftart #NFTcollection #NFTcollectibles  $SOL https--//t.co/ZcTudDQnba,Yes,Yes,Yes,17,44,Yes,Yes,29,56,32,62,65,Man,27,No,349
"@BurgessBoston @xyghxygh @AlbertastanLive @prageru No, I said It takes a lot of faith to believe in an infinite series of accidents so precise, that it all just happened to add up to the creation and continued reproduction of life.  And because I believe in a Creator, that doesn't mean I think the universe revolves around me.",Yes,Yes,Yes,38,57,Yes,Yes,31,27,45,34,65,Man,27,No,349
"@NahashonKimemia CAZOO TEAMS are similar to MUNGIKI but different styles! They are OGADEN tribal youth members who works with Ahmed Rashid and they are used in different missions in Eastleigh and Pangani like nights activities, assaults, kidnapping, extortion, snitching and spying!  PROTECTED 👇 https--//t.co/bNHhmJRUcl",Yes,Yes,Yes,43,68,Yes,Yes,41,64,53,50,65,Man,27,No,349
"Sweet nothings on my circumstances-- a little hope I hold onto for the future is that one day, when my finances are stable, I'll be able to subscribe to SO many people's Patreons. So. Many.   There's so much cool stuff small creators are doing! I wanna support as much I can",Yes,No,,,,Yes,Yes,24,59,28,62,65,Man,27,No,349
'Explain yourself'-- Fox News host challenges Ron Johnson after he's booed at debate https--//t.co/5ORasPrbj0,Yes,Yes,Yes,38,44,Yes,Yes,32,50,32,57,65,Man,27,No,349
@dragonfishy @chrismartenson @adamseconomics @FatEmperor @rustyrockets @AwakenWithJP @joerogan @JordanSchachtel @AlexBerenson @ArmstrongEcon The UK authority’s biweekly c19 report sometime last autumn said that among those hospitalized and vaxxed they found immune system damage….,Yes,No,,,,Yes,Yes,68,69,61,65,81,Woman,28,Yes,350
@drvyom I hear Big Pharma pays well.  Why wouldn't you want these accusations investigated 🤔,Yes,No,,,,Yes,Yes,71,87,82,78,81,Woman,28,Yes,350
@JoeBiden Stop lying fake 46 true patriotic Americans are aware of your pathetic lies and BULLSHIT!!! FJB,Yes,No,,,,Yes,Yes,81,71,87,85,81,Woman,28,Yes,350
@flipkartsupport 125 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,Yes,No,,,,Yes,Yes,79,86,76,83,81,Woman,28,Yes,350
"@almostlikethat @zackmdavis @WickedViper23 @mealreplacer Yes, btw this looks terribly hand-wavy I am aware but there's a reason.  Almost no groups explicitly state their moral codes even EA people and morals are always somewhat tacit in groups how you resolve disputes, who gets to claim the moral high ground, who defers to whom",Yes,No,,,,Yes,No,83,79,79,81,81,Woman,28,Yes,350
i do not want to be warm. i want to be cold and then made warm by a blanket why is this so difficult to understand,Yes,No,,,,Yes,Yes,92,76,75,73,81,Woman,28,Yes,350
@MrAlgolagnist @LouMill90 @WIAW18 So weird that they think it’s saying no we have a problem with lmao. We have a problem with concerted attacks on gay and trans rights. We are saying no to them and they don’t like that one but.,Yes,No,,,,Yes,Yes,74,59,75,80,81,Woman,28,Yes,350
"@_Amsterdam23_ @DBBadTakePolice Buu was able to destroy a large amount of planets in A few years which while still super impressive compared to the cell saga.  Still is below what he was able to show in the movie, Movies have a highly inflated power in terms of what’s portrayed. https--//t.co/imaZC4uyh7",Yes,No,,,,Yes,Yes,84,82,76,83,81,Woman,28,Yes,350
@glorthanlit Me personally? I get asked this by the women I talk to and I avoid answering apparently that’s just shitty,Yes,No,,,,Yes,Yes,74,78,81,81,81,Woman,28,Yes,350
$HLT Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/XD5FQq93si,Yes,No,,,,Yes,Yes,81,80,75,82,81,Woman,28,Yes,350
@Fatalic_Dj @jaidanoele @_girlalex91 @mema_j_ @realmainfeeling Anything else ? Did you research what those words meant while you were on Google lol cause I have plenty evidence to show you a BBL is nowhere near one of the most dangerous surgeries. Nowhere near a brain surgery or C section or any major operation.,No,No,,,,No,,,,,,51,Man,41,Yes,351
"i have never let men conflict the way i seen myself lol until I did! it was awful & i feel terrible for woman who have gone thru this many times,  for many years, since they were young https--//t.co/2kDRZkSbMe",No,No,,,,No,,,,,,51,Man,41,Yes,351
$BBN Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,No,No,,,,No,,,,,,51,Man,41,Yes,351
Chief Ministers of states --  SAVE COWS AND PROGENY FROM PAINFUL DEATH STOP POLYBAGS IN INDIA ! Sign the Petition! https--//t.co/1aNUlv3Hgp via @UKChange,No,No,,,,Yes,Yes,30,31,22,35,51,Man,41,Yes,351
Robbie Keane shares heartbreaking news of his mother’s death as tributes flood in https--//t.co/OweKM70dQP,Yes,No,,,,No,,,,,,51,Man,41,Yes,351
"@BambinoJalapeno What’s worse, I think, is that the military is in a self imposed crisis because they leadership refuses to support its members choice around the experiment.  Even after information available.  Pure political move, and members and potential recruits want nothing to do with it.",No,No,,,,No,,,,,,51,Man,41,Yes,351
@Reuters Boris gets yanked for sneaking a beer and this Lady crashes the country and they'll probably keep her!   🤣Brits!,Yes,No,,,,No,,,,,,51,Man,41,Yes,351
@SociologyGirl Awww! I’m doing great! No complaints. How are you?,No,No,,,,No,,,,,,51,Man,41,Yes,351
"To destroy fascism is not cancel culture-- It is common sense. Anyone questioning this is a supporter, sympathizer of fascism or simply a fascist.",No,No,,,,No,,,,,,51,Man,41,Yes,351
i’m gonna go get starbucks bc i deserve it after the last few weeks of a disaster,No,No,,,,No,,,,,,51,Man,41,Yes,351
@Avalatrade @RpsAgainstTrump Except a qualified medical professional trumps any bull💩 opinion!  https--//t.co/OQpSYG9Fg4,Yes,No,,,,No,,,,,,0,Man,40,No,352
"The fact that the final confrontation between Michael Myers and Laurie feels more like an afterthought in Ends, is a huge red flag lol 😂",No,No,,,,No,,,,,,0,Man,40,No,352
"@VladoBilcik The payment of war reparations to the state of Serbia, as well as to individuals and their families killed in the NATO-terrorist attack, is also demanded.",No,Yes,No,90,42,Yes,Yes,64,74,91,50,0,Man,40,No,352
death note son or hell girl daughter,No,No,,,,No,,,,,,0,Man,40,No,352
@SarenaWiebe @sassiscjo @apmassaro3 @elonmusk Responding in kind would western US cruise missile attacks into major Russian cities killing civilian and destroying infrastructure to cause people to freeze in the winter. There is no such threat for Putin. But certainly that will become a real threat for Russia if he uses nukes,No,Yes,No,78,95,No,,,,90,83,0,Man,40,No,352
I've been completely addicted to ONEPIECE and The Enemy Beside Me  #nsfwtwt #魔道祖师 #webtoonseries  https--//t.co/TNCGovMNcX https--//t.co/BsjY9e8Lib,Yes,No,,,,No,,,,,,0,Man,40,No,352
"Dad outright asked the doctor what would happen if he stopped doing the dialysis.  Dad Died, Then Mom by @MaliaArries is a recommended read  https--//t.co/EhVFLxWssY #memoir #caregiving #bookboost #bookrec #nnlbh https--//t.co/gTEFpBkOe6",Yes,No,,,,No,,,,,,0,Man,40,No,352
"Now is your chance, until Oct 31st to let the commission know what you thought of the convoy clowns and the Emergencies Act.  This was posted on the *Freedom Fighters* FB site, so you know they are going to be swamping it with negative reviews of the EA.   https--//t.co/wQZNgytgLD",Yes,No,,,,No,,,,,,0,Man,40,No,352
@PaulBrandITV @peterjukes I'm not a political genius but I foretold Truss would be a disaster and I've said that Hunt is now PM until they can shoehorn Mourdant in ....ffs its not rocket science..we're being conned again 😒,No,No,,,,No,,,,,,0,Man,40,No,352
"@SamCoatesSky Im not sure a bloke who gave a PPE contract to his pub landlord, is a man to call on in a financial crisis",No,No,,,,No,,,,,,0,Man,40,No,352
"My lust for power, my jealousy of Azmuth, it isn't just evil, ultimately; it's pointless. I could never truly destroy you. You would only have not been not unexistent in what could have not now been the past, present, and partial future.",No,No,,,,Yes,No,64,78,63,82,86,Woman,41,Yes,353
literally the only part of this that is not men's fault is the overwhelming despair of capitalism crushing our ability to be intimate and social with each other. Otherwise just don't be a dick lol.,No,No,,,,Yes,Yes,66,78,73,69,86,Woman,41,Yes,353
"@AltScalesOfJust I, on the other hand, am not. I burst out laughing at ""danger zone"" and I. Can't. Stop! https--//t.co/mazuRRneZ9",Yes,No,,,,No,,,,,,86,Woman,41,Yes,353
This is after a series of shootings and robberies outside the children's hospital and nearby Allina clinic this summer. Hospital is recommending escorts to parking ramps. My brother pulled his kid out of heart treatment bc of this. It's very dangerous to be a kid in Minneapolis. https--//t.co/VyYPtkh7Tg,No,Yes,Yes,79,73,Yes,No,70,80,61,70,86,Woman,41,Yes,353
The country is in crisis.  Millions of people have had mortgages down the drain and their private pensions nosedive.  This is the time for serious political debate as to how we get out of this mess not tit for tat mudslinging to score political brownie points. https--//t.co/PpbbfISI5e,No,Yes,Yes,68,81,Yes,Yes,70,81,75,80,86,Woman,41,Yes,353
@laurenboebert But what about AOC’s three ✅’s. The people of Colorado’s 3rd notice you cannot dispute any of her contentions because they are all true. You do not deserve another chance to let us down!,No,Yes,Yes,68,82,Yes,Yes,70,80,81,70,86,Woman,41,Yes,353
British voters are truly stuck between a rock and a hard place. It's the Tories under any leader or Labour under Starmer. Dreadful ☹️ https--//t.co/Y7VVQkD9SL,No,Yes,No,72,66,No,,,,57,73,86,Woman,41,Yes,353
@MarkReid42 @CoalitionCanad1 @MaxineFroese @AndrewLawton plots and threates to his life. Use your brain he gets threats every day from these people. Interntional investors will pull their money out of a country where the leader puts their own life in danger for this nonsense. do you want a majpor recession??!?!,Yes,Yes,Yes,77,71,Yes,Yes,83,73,80,70,86,Woman,41,Yes,353
"U.S AND NATO STILL DEEPENED IN FEAR OF A NUCLEAR WAR WITH RUSSIA! THEREFORE, they cannot satisfy all urgent demands of Ukraine! They have to cover their butts as well! They live in fear a nuclear war fear that always distract their vision & their capabilities to solve big prblms!",No,Yes,No,72,88,No,,,,80,71,86,Woman,41,Yes,353
'Sue him for every f*****g penny'-- Kanye West slammed for saying George Floyd died of fentanyl overdose #SmartNews  https--//t.co/WLFStUAHzh,No,Yes,No,81,72,Yes,No,72,81,67,78,86,Woman,41,Yes,353
